Rut,Nombre,"Nota 1","Nota 2"
12.345.678-9,"Ana Martínez",6.0,5.5
98.765.432-1,"Juan Pérez",7.0,6.5
13.579.246-8,"María González",4.5,5.0
24.681.357-9,"Pedro Ramírez",6.5,6.0
31.415.926-5,"Laura Fernández",5.5,5.0
27.182.818-2,"Luis Morales",6.0,5.5
11.223.344-5,"Carmen Rojas",7.0,6.5
55.667.788-9,"Jorge Contreras",5.0,4.5
99.887.766-5,"Sofía Valenzuela",6.5,6.0
44.332.211-0,"Francisco Vargas",5.5,5.0
66.778.899-0,"Valentina Castillo",6.0,5.5
12.349.876-5,"Nicolás Reyes",7.0,6.5
87.654.321-0,"Gabriela Muñoz",4.5,5.0
14.253.647-8,"Cristian Soto",6.5,6.0
36.473.829-1,"Daniela Silva",5.5,5.0
19.283.746-5,"Pablo Sandoval",6.0,5.5
45.678.912-3,"Margarita Espinoza",7.0,6.5
67.890.543-2,"Esteban Fuentes",5.0,4.5
34.567.890-1,"Alicia Carrasco",6.5,6.0
90.817.263-4,"Mateo Henríquez",5.5,5.0
76.543.210-9,"Antonia Figueroa",6.0,5.5
87.456.312-4,"José Navarro",7.0,6.5
29.837.465-0,"Rocío Araya",4.5,5.0
43.829.012-5,"Felipe Aguirre",6.5,6.0
98.712.345-6,"Camila Pizarro",5.5,5.0
